"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","16-May-2019","23-May-2019","PE","29700","1170","1170","1170","1170","1170","1170","4","24.7",".94","100","80","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","29800","1400","1425","1041.95","1041.95","1041.95","1041.95","9","55.93","2.29","480","120","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","29900","1450","1499","1400","1400","1400","1400","10","62.73","2.93","160","160","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","30000","1565","1590","1240","1302.8","1330","1302.8","367","2305.19","103.19","8700","5660","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","30100","1599","1621","1599","1621","1621","1621","5","31.71","1.61","100","100","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","30200","0","0","0","701","701","1316.4","0","0","0","20","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","30300","0","0","0","1900","1900","1413.2","0","0","0","20","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","30400","0","0","0","948.05","0","1510.85","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","30500","1950","1950","1582.65","1630.2","1677.75","1630.2","49","317.64","18.74","1040","960","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","30600","0","0","0","1059.65","0","1707.8","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","30700","0","0","0","1118.05","0","1806.85","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","30800","0","0","0","1178.2","0","1906.15","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","30900","0","0","0","1240.05","0","2005.65","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","31000","2022.1","2130","2022.1","2124.5","2130","2124.5","103","682.36","43.76","2040","2040","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","31100","0","0","0","1368.75","0","2204.95","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","31200","0","0","0","1435.5","0","2304.7","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","31300","0","0","0","1503.85","0","2404.5","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","31400","0","0","0","1573.7","0","2504.35","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","31500","0","0","0","1672.3","0","2604.2","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","31600","0","0","0","1626.9","0","2704.05","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","31700","0","0","0","1445.85","0","2803.9","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","31800","0","0","0","1512.65","0","2903.75","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","31900","0","0","0","1581","0","3003.65","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","32000","3504.8","3504.8","3018.4","3041.05","3019.3","3041.05","62","436.52","39.72","1180","1120","-"
"BANKNIFTY","16-May-2019","23-May-2019","PE","27100","200","200","101.45","151.1","150.5","151.1","32","174.53","1.09","520","520","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","27000","144","155.75","81.25","114.8","100.5","114.8","28483","154559.47","751.27","117260","80460","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","32100","0","0","0","1536.65","0","2614.6","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","27200","156.2","189.55","108","142.75","130","142.75","1471","8049.33","47.09","3740","2980","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","27300","185","202.2","120.1","151.15","145.7","151.15","3899","21423.97","135.43","8980","7600","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","27400","184.65","220.25","135.4","163.65","169","163.65","613","3381.7","22.46","1800","1800","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","27500","229.95","248.95","155.6","186.65","160","186.65","35281","195520.22","1474.72","90840","44000","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","27600","258.25","261.35","160","201.4","195.1","201.4","4215","23461.73","194.93","9720","9120","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","27700","289","289.05","161.15","215.95","163.05","215.95","6495","36307.23","324.93","16000","13680","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","27800","313.65","335.85","204.65","241.25","212.05","241.25","5414","30398.47","296.63","9800","7820","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","27900","342.6","342.6","200","265.2","202","265.2","5269","29712.85","311.83","8180","4620","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","28000","365.15","378.5","237.05","286.45","245","286.45","51452","291374.52","3243.32","133760","82620","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","28100","365.05","405","260.05","309.5","283.55","309.5","6570","37373.84","450.44","8080","3860","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","28200","423.5","433.2","291.65","332.45","292","332.45","9556","54600.6","704.76","13400","7760","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","28300","450.4","473.7","315.65","355.05","315.65","355.05","11975","68730.51","952.01","14080","4760","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","28400","434.2","533.6","326.15","383.55","359","383.55","8478","48884.49","729.45","11440","2980","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","28500","553.85","553.85","360","413.55","372","413.55","34704","201003.87","3191.07","81420","43820","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","28600","625.75","625.75","388.65","443.85","404.1","443.85","16859","98114.21","1680.73","19240","980","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","28700","608","630","420.9","472.9","428.95","472.9","16171","94566.23","1744.69","14120","-1680","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","28800","640","702.3","450.05","498.95","456.3","498.95","18142","106575.01","2077.09","24880","14680","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","28900","641","730.9","482.65","539.3","489.4","539.3","21095","124480.96","2551.86","28740","23500","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","29000","705.6","775.95","512","574","512","574","59093","350247.02","7507.62","98320","75080","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","29100","779.3","791.95","546.2","610","555","610","7634","45462.59","1032.71","14940","14940","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","29200","852.8","872.7","580","637.4","595","637.4","9098","54388.44","1256.12","18040","16300","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","29300","879.5","911.45","616.6","674.85","624.95","674.85","5281","31709.67","763.01","12180","10480","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","29400","899.6","933.25","655.25","721.65","663","721.65","2335","14075.49","345.69","8540","8420","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","29500","1018.4","1033.4","700","751.2","703.95","751.2","4218","25568.29","682.09","25200","16220","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","29600","1050","1100","734","794.4","749.15","794.4","194","1181.26","32.78","1380","920","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","29700","1098.45","1098.45","782.4","845.55","782.4","845.55","86","526.47","15.63","520","420","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","29800","1134.75","1163.9","832.65","882.4","871.2","882.4","52","320.01","10.09","800","320","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","29900","1165.4","1200","1039.35","1062.5","1062.5","1062.5","18","111.6","3.96","200","40","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","30000","1334.65","1367.4","937.8","1007.3","945","1007.3","1325","8247.23","297.23","13460","4760","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","30100","0","0","0","1621","1621","704.35","0","0","0","100","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","30200","0","0","0","701","701","785.8","0","0","0","20","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","30300","1328.35","1375.6","1328.35","1375.6","1375.6","1375.6","3","18.99",".81","60","40","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","30400","1275","1275","1275","1275","1275","1275","1","6.34",".26","20","20","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","30500","1670.9","1670.9","1250.75","1275.4","1250.75","1275.4","33","211.14","9.84","1320","280","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","30600","0","0","0","1059.65","0","1140.1","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","30700","0","0","0","1118.05","0","1233.85","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","30800","0","0","0","1178.2","0","1329.05","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","30900","1678.75","1678.75","1639.85","1659.3","1639.85","1659.3","2","13.02",".66","40","40","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","31000","2177","2177","2177","2177","2177","2177","1","6.64",".44","2020","-20","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","31100","0","0","0","1368.75","0","1620.45","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","31200","0","0","0","1435.5","0","1718.9","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","31300","0","0","0","1503.85","0","1817.75","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","31400","0","0","0","1573.7","0","1916.9","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","31500","0","0","0","1672.3","0","2016.25","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","31600","0","0","0","1626.9","0","2115.8","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","31700","0","0","0","1445.85","0","2215.45","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","31800","0","0","0","1512.65","0","2315.15","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","31900","0","0","0","1581","0","2414.95","0","0","0","0","0","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","32000","3019.3","3019.3","2600","2600","2600","2600","8","55.67","4.47","1240","60","-"
"BANKNIFTY","17-May-2019","23-May-2019","PE","27100","144.9","163.1","108","132.75","120","132.75","1842","10037.6","53.96","4680","4160","-"
"BANKNIFTY","20-May-2019","23-May-2019","PE","27000","111.8","111.8","15","17.6","16.5","17.6","39928","215805.85","194.65","141140","23880","-"
"BANKNIFTY","20-May-2019","23-May-2019","PE","32100","1841.7","2031.1","1841.7","2031.1","2031.1","2031.1","2","13.61",".77","20","20","-"
"BANKNIFTY","20-May-2019","23-May-2019","PE","27200","139.75","139.75","18.8","22.1","20.35","22.1","2805","15276.13","16.93","11040","7300","-"
"BANKNIFTY","20-May-2019","23-May-2019","PE","27300","51","51","20","24.6","30.9","24.6","3253","17782.36","20.98","7160","-1820","-"
"BANKNIFTY","20-May-2019","23-May-2019","PE","27400","40.35","52.95","21.1","26.85","27.1","26.85","3192","17515.65","23.49","4260","2460","-"
"BANKNIFTY","20-May-2019","23-May-2019","PE","27500","183.65","183.65","23.3","30.1","29.35","30.1","28863","158977.37","230.87","155280","64440","-"
"BANKNIFTY","20-May-2019","23-May-2019","PE","27600","48","55","27","32.75","31.75","32.75","4462","24670.78","40.54","9860","140","-"
"BANKNIFTY","20-May-2019","23-May-2019","PE","27700","51","68.8","28.4","37.1","34.5","37.1","5117","28399.69","51.51","11380","-4620","-"
"BANKNIFTY","20-May-2019","23-May-2019","PE","27800","53","161.4","31.8","42.5","39.95","42.5","5574","31054.63","63.19","9280","-520","-"
"BANKNIFTY","20-May-2019","23-May-2019","PE","27900","64.95","75.05","35.6","46.7","39.05","46.7","7015","39230.72","87.02","12800","4620","-"
"BANKNIFTY","20-May-2019","23-May-2019","PE","28000","276.7","276.7","40.05","51.3","45","51.3","67509","379005.9","955.5","133800","40","-"
